,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,grid_id,grid_id_distance,Slope_resorted,Slope_sorted
21,268,CHARTERHALL,charterhall,berwickshire,55.709,-2.385,112,1990,2020,POINT (-2.385 55.709),79,29824.918398845315,2.29,3.1
22,289,KIELDER CASTLE,kielder-castle,northumberland,55.234,-2.58,201,2013,2020,POINT (-2.58 55.234),69,1741.5232940314222,11.52,26.25
23,315,BOULMER,boulmer,northumberland,55.421,-1.601,23,1988,2020,POINT (-1.601 55.421),99,33112.79087068554,2.76,4.11
24,326,DURHAM,durham,durham,54.768,-1.586,102,1997,2020,POINT (-1.586 54.768),93,31736.72916221656,7.69,10.58
25,339,BAINBRIDGE,bainbridge,north-yorkshire,54.308,-2.101,210,2010,2020,POINT (-2.101 54.308),90,8253.676462554246,9.32,23.41
26,358,FYLINGDALES,fylingdales,north-yorkshire,54.359,-0.672,262,1984,2020,POINT (-0.672 54.359),91,91488.86577976643,6.01,9.27
27,360,SCARBOROUGH,scarborough,north-yorkshire,54.273,-0.423,110,2010,2020,POINT (-0.423 54.273),90,108105.58383862962,7.07,14.95
28,373,BRIDLINGTON MRSC,bridlington-mrsc,humberside,54.094,-0.176,15,1994,2020,POINT (-0.176 54.094),90,125563.49476731743,3.27,15.45
29,381,SCAMPTON,scampton,lincolnshire,53.307,-0.548,57,1984,2020,POINT (-0.548 53.307),90,123441.7995451868,1.95,2.76
30,393,CONINGSBY,coningsby,lincolnshire,53.094,-0.173,6,1978,2020,POINT (-0.173 53.094),90,151245.76016963617,2.45,5.39
31,395,HOLBEACH NO 2,holbeach-no-2,lincolnshire,52.873,0.139,3,1990,2020,POINT (0.139 52.873),90,176032.93749406602,4.58,9.5
32,409,MARHAM,marham,norfolk,52.651,0.566,21,1957,2020,POINT (0.566 52.651),90,206999.0990786999,1.39,2.72
33,24996,"HEREFORD, CREDENHILL",hereford-credenhill,hereford-and-worcester,52.08,-2.802,76,1999,2020,POINT (-2.802 52.08),50,152496.7475771939,4.74,6.05
34,426,CROMER,cromer,norfolk,52.934,1.291,37,2009,2020,POINT (1.291 52.934),90,239363.94557112752,9.09,30.63
35,435,BROOMS BARN,brooms-barn,suffolk,52.261,0.566,75,2009,2020,POINT (0.566 52.261),90,222110.66951733007,2.8,4.54
36,442,CHARSFIELD,charsfield,suffolk,52.163,1.28,49,2010,2020,POINT (1.28 52.163),90,263065.6973535083,1.5,2.77
37,455,"CAMBRIDGE, NIAB",cambridge-niab,cambridgeshire,52.245,0.1,26,2009,2020,POINT (0.1 52.245),90,200408.6928709532,3.32,5.87
38,458,WOBURN,woburn,bedfordshire,52.014,-0.596,89,2000,2020,POINT (-0.596 52.014),90,184131.22615012855,3.98,7.03
39,461,BEDFORD,bedford,bedfordshire,52.227,-0.465,85,1980,2020,POINT (-0.465 52.227),90,177401.63167937277,2.39,8.46
40,16851,MORECAMBE NO 2,morecambe-no-2,lancashire,54.076,-2.86,7,2011,2020,POINT (-2.86 54.076),30,24708.315118341434,14.08,23.94
41,471,ROTHAMSTED,rothamsted,hertfordshire,51.807,-0.36,128,1999,2020,POINT (-0.36 51.807),90,203663.330040468,3.64,4.07
42,487,WRITTLE,writtle,essex,51.734,0.429,32,2009,2020,POINT (0.429 51.734),90,239071.67898082064,2.41,3.2
43,498,"SHOEBURYNESS, LANDWICK",shoeburyness-landwick,essex,51.555,0.827,2,1981,2020,POINT (0.827 51.555),90,265370.4607070812,11.85,17.94
44,513,"BINGLEY, NO 2",bingley-no-2,west-yorkshire,53.811,-1.867,262,1994,2020,POINT (-1.867 53.811),90,42741.71708019486,6.43,6.69
45,516,BRADFORD,bradford,west-yorkshire,53.814,-1.774,134,2010,2020,POINT (-1.774 53.814),90,44901.83669340013,5.94,8.38
46,525,SHEFFIELD,sheffield,south-yorkshire,53.381,-1.491,131,2008,2020,POINT (-1.491 53.381),90,78306.21671877742,6.6,9.23
47,534,BRAMHAM,bramham,west-yorkshire,53.869,-1.319,54,2001,2020,POINT (-1.319 53.869),90,61588.53021652614,3.96,5.0
48,542,COTON-IN-THE-ELMS,coton-in-the-elms,derbyshire,52.737,-1.641,85,2010,2020,POINT (-1.641 52.737),90,113682.85876565623,2.81,3.36
49,583,WITTERING,wittering,cambridgeshire,52.612,-0.468,74,1957,2020,POINT (-0.468 52.612),90,157832.4060149145,1.91,3.08
50,595,CHURCH LAWFORD,church-lawford,warwickshire,52.359,-1.331,107,1990,2020,POINT (-1.331 52.359),90,143078.42065740732,7.68,7.67
51,605,BRIZE NORTON,brize-norton,oxfordshire,51.758,-1.578,82,1968,2020,POINT (-1.578 51.758),90,176544.77193494112,3.43,4.17
52,613,BENSON,benson,oxfordshire,51.62,-1.099,57,1974,2020,POINT (-1.099 51.62),90,193258.64373398785,2.71,3.2
53,622,KEELE,keele,staffordshire,52.999,-2.27,179,2006,2020,POINT (-2.27 52.999),80,93494.10926947613,6.18,11.96
54,634,PENNERLEY,pennerley,shropshire,52.59,-2.95,357,2010,2020,POINT (-2.95 52.59),30,118931.2219525559,24.66,25.11
55,634,PENNERLEY,pennerley,shropshire,52.59,-2.95,357,2010,2020,POINT (-2.95 52.59),30,118931.2219525559,11.86,11.87
56,643,SHAWBURY,shawbury,shropshire,52.795,-2.665,72,1957,2020,POINT (-2.665 52.795),50,105991.77014326182,1.97,2.49
57,658,PERSHORE COLLEGE,pershore-college,hereford-and-worcester,52.1,-2.06,37,1999,2020,POINT (-2.06 52.1),90,151321.0767420797,2.11,3.48
58,660,ASTWOOD BANK,astwood-bank,hereford-and-worcester,52.248,-1.935,137,2010,2020,POINT (-1.935 52.248),90,142042.20866835685,4.32,6.89
59,708,HEATHROW,heathrow,greater-london,51.479,-0.451,25,1949,2020,POINT (-0.451 51.479),90,218840.11068400237,6.41,8.32
60,719,WISLEY,wisley,surrey,51.311,-0.476,38,2000,2020,POINT (-0.476 51.311),90,227689.2583515417,5.72,13.37
61,742,GOUDHURST,goudhurst,kent,51.077,0.46,85,2009,2020,POINT (0.46 51.077),90,273019.0161898114,4.34,7.99
62,775,MANSTON,manston,kent,51.347,1.335,49,1961,2020,POINT (1.335 51.347),90,298574.84030736133,2.84,5.69
63,811,"HERSTMONCEUX, WEST END",herstmonceux-west-end,east-sussex,50.891,0.317,52,1992,2020,POINT (0.317 50.891),90,277421.9652106809,6.85,9.43
64,830,"READING UNIVERSITY, WHITEKNIGHTS",reading-university-whiteknights,berkshire,51.441,-0.938,66,2012,2020,POINT (-0.938 51.441),90,207745.0009560074,3.28,6.47
65,842,HURN,hurn,dorset,50.779,-1.836,10,1957,2020,POINT (-1.836 50.779),90,237494.23668115438,11.88,13.84
66,855,OTTERBOURNE W WKS,otterbourne-w-wks,hampshire,51.009,-1.335,34,2010,2020,POINT (-1.335 51.009),90,227273.7771130788,4.49,5.26
67,869,SOUTH FARNBOROUGH,south-farnborough,hampshire,51.28,-0.773,65,1957,2020,POINT (-0.773 51.28),90,221403.88590321998,2.84,2.53
68,876,WIGHT: ST CATHERINES POINT,wight-st-catherines-point,isle-of-wight,50.576,-1.297,20,1982,2020,POINT (-1.297 50.576),90,255249.99333270907,22.39,44.91
69,888,LARKHILL,larkhill,wiltshire,51.202,-1.806,132,1995,2020,POINT (-1.806 51.202),90,210298.29831561667,3.45,6.17
70,889,BOSCOMBE DOWN,boscombe-down,wiltshire,51.162,-1.755,126,1957,2020,POINT (-1.755 51.162),90,213186.2719033386,5.38,6.01
71,908,MACHRIHANISH,machrihanish,argyll-in-strathclyde-region,55.441,-5.697,10,1965,2020,POINT (-5.697 55.441),9,143566.23755267353,5.6,6.21
72,918,DUNSTAFFNAGE,dunstaffnage,argyll-in-strathclyde-region,56.45,-5.44,3,1980,2020,POINT (-5.44 56.45),9,148517.29503319482,10.36,11.22
73,940,GT CUMBRAE: MILLPORT,gt-cumbrae-millport,buteshire,55.749,-4.908,5,2010,2020,POINT (-4.908 55.749),9,97475.8802242998,59.13,154.64
74,982,SALSBURGH,salsburgh,lanarkshire,55.861,-3.875,277,1994,2020,POINT (-3.875 55.861),9,47007.022046941194,5.21,8.33
75,1005,AUCHINCRUIVE,auchincruive,ayrshire,55.477,-4.565,48,2005,2020,POINT (-4.565 55.477),9,71213.90649695953,5.53,9.55
76,1007,"PRESTWICK, GANNET",prestwick-gannet,ayrshire,55.515,-4.585,27,1994,2020,POINT (-4.585 55.515),9,73031.06948610429,5.46,9.35
77,1023,ESKDALEMUIR,eskdalemuir,dumfriesshire,55.312,-3.207,236,1954,2020,POINT (-3.207 55.312),29,4763.902441045376,9.23,17.56
78,1023,ESKDALEMUIR,eskdalemuir,dumfriesshire,55.312,-3.207,236,1954,2020,POINT (-3.207 55.312),29,4763.902441045376,12.73,10.05
79,1033,DUNDRENNAN,dundrennan,kirkcudbrightshire,54.803,-4.008,113,1990,2020,POINT (-4.008 54.803),6,33448.24264051585,7.15,9.49
80,1035,THREAVE,threave,kirkcudbrightshire,54.926,-3.95,73,2005,2020,POINT (-3.95 54.926),6,27723.41778629984,9.32,8.37
81,1039,WEST FREUGH,west-freugh,wigtownshire,54.859,-4.935,11,1961,2020,POINT (-4.935 54.859),6,91662.8793246822,2.99,3.2
82,1055,ST BEES HEAD NO 2,st-bees-head-no-2,cumbria,54.518,-3.615,124,1992,2020,POINT (-3.615 54.518),1,9283.470623773816,20.22,30.93
83,1060,KESWICK,keswick,cumbria,54.614,-3.157,81,1992,2020,POINT (-3.157 54.614),22,627.0656740720586,8.6,11.36
84,1067,BLENCATHRA,blencathra,cumbria,54.62,-3.08,250,2010,2020,POINT (-3.08 54.62),32,3978.2706762246466,51.08,54.81
85,1070,CARLISLE,carlisle,cumbria,54.934,-2.964,28,1961,2020,POINT (-2.964 54.934),35,3911.8853846495563,6.82,10.8
86,1073,NEWTON RIGG,newton-rigg,cumbria,54.67,-2.788,169,2010,2020,POINT (-2.788 54.67),43,4156.68874835708,7.04,8.39
87,1074,WARCOP RANGE,warcop-range,cumbria,54.572,-2.413,227,1992,2020,POINT (-2.413 54.572),72,2400.9274083549503,6.89,11.29
88,1076,SPADEADAM NO 2,spadeadam-no-2,cumbria,55.05,-2.554,285,1992,2020,POINT (-2.554 55.05),67,966.7667585327408,5.0,6.04
89,1078,WALNEY ISLAND,walney-island,cumbria,54.125,-3.258,15,1992,2020,POINT (-3.258 54.125),10,19448.365563273084,3.68,6.54
90,1083,SHAP,shap,cumbria,54.502,-2.685,252,1992,2020,POINT (-2.685 54.502),51,2221.72956921076,12.73,15.9
91,1090,"BLACKPOOL, SQUIRES GATE",blackpool-squires-gate,lancashire,53.775,-3.038,10,1957,2020,POINT (-3.038 53.775),30,42049.6612094436,8.66,6.62
92,1111,"PRESTON, MOOR PARK",preston-moor-park,lancashire,53.774,-2.705,33,2009,2020,POINT (-2.705 53.774),50,42515.91881153594,3.83,4.37
93,1132,"NANTWICH, REASEHEATH HALL",nantwich-reaseheath-hall,cheshire,53.086,-2.526,40,2011,2020,POINT (-2.526 53.086),60,87557.49984435519,7.12,8.27
94,1144,HAWARDEN AIRPORT,hawarden-airport,clwyd,53.175,-2.986,11,1992,2020,POINT (-2.986 53.175),30,80950.96498812991,3.29,4.52
95,1161,ABERDARON,aberdaron,gwynedd,52.789,-4.741,86,1993,2020,POINT (-4.741 52.789),0,134095.83481787978,18.12,24.88
96,1166,PORTHMADOG,porthmadog,gwynedd,52.915,-4.158,7,2010,2020,POINT (-4.158 52.915),0,107361.95211086255,9.64,27.32
97,1180,BALA,bala,gwynedd,52.908,-3.584,163,1997,2020,POINT (-3.584 52.908),0,98430.84267185528,12.02,50.56
98,1198,ABERPORTH,aberporth,dyfed,52.14,-4.571,133,1957,2020,POINT (-4.571 52.14),0,164222.41462936022,72.93,124.31
99,1205,GOGERDDAN,gogerddan,dyfed,52.432,-4.02,31,2011,2020,POINT (-4.02 52.432),0,133828.26091215078,6.82,15.73
100,1209,TRAWSGOED,trawsgoed,dyfed,52.344,-3.948,63,1992,2020,POINT (-3.948 52.344),0,138219.4234387467,12.3,39.44
101,1215,MILFORD HAVEN CONSERVANCY BOARD,milford-haven-conservancy-board,dyfed,51.709,-5.053,44,1964,2020,POINT (-5.053 51.709),0,203588.97745575683,17.25,57.25
102,1223,WHITECHURCH,whitechurch,dyfed,51.989,-4.679,129,2011,2020,POINT (-4.679 51.989),0,176092.5725563827,3.22,3.86
103,1226,PEMBREY SANDS,pembrey-sands,dyfed,51.714,-4.367,3,1993,2020,POINT (-4.367 51.714),0,184915.19567670967,8.61,28.77
104,1249,LIBANUS,libanus,powys-south,51.924,-3.489,331,2012,2020,POINT (-3.489 51.924),0,161958.12879456664,5.52,7.42
105,1255,MUMBLES HEAD,mumbles-head,west-glamorgan,51.566,-3.982,43,1982,2020,POINT (-3.982 51.566),0,188096.27508939308,22.66,28.52
106,1272,"CARDIFF, BUTE PARK",cardiff-bute-park,south-glamorgan,51.488,-3.189,9,2010,2020,POINT (-3.189 51.488),10,190338.88805548512,5.62,4.89
107,1285,LISCOMBE,liscombe,somerset,51.087,-3.609,348,1993,2020,POINT (-3.609 51.087),0,216400.61395623893,13.77,16.42
108,1302,YEOVILTON,yeovilton,somerset,51.006,-2.643,20,1964,2020,POINT (-2.643 51.006),50,221981.76646246386,2.81,3.46
109,1319,ISLE OF PORTLAND,isle-of-portland,dorset,50.522,-2.456,52,1967,2020,POINT (-2.456 50.522),50,253799.46815269132,7.2,23.46
110,1326,SWANAGE,swanage,dorset,50.614,-1.959,10,2011,2020,POINT (-1.959 50.614),90,247781.88465101752,9.99,16.97
111,1352,NORTH WYKE,north-wyke,devon,50.769,-3.904,177,2000,2020,POINT (-3.904 50.769),0,238486.28978759702,5.57,12.61
112,1383,DUNKESWELL AERODROME,dunkeswell-aerodrome,devon,50.86,-3.24,252,1991,2020,POINT (-3.24 50.86),10,230946.73668838906,3.51,8.02
113,1386,SCILLY: ST MARYS AIRPORT,scilly-st-marys-airport,isles-of-scilly,49.915,-6.296,31,1991,2020,POINT (-6.296 49.915),0,344828.9434965431,8.44,13.26
114,1393,CULDROSE,culdrose,cornwall,50.084,-5.257,76,1977,2020,POINT (-5.257 50.084),0,304128.4098225806,4.21,4.88
115,1418,BUDE,bude,cornwall,50.829,-4.546,15,2011,2020,POINT (-4.546 50.829),0,243133.46627661935,33.41,113.64
116,10268,"WINCHCOMBE, SUDELEY CASTLE",winchcombe-sudeley-castle,gloucestershire,51.948,-1.954,112,2010,2020,POINT (-1.954 51.948),90,161384.04643500852,8.21,10.02
117,16769,WIGGONHOLT,wiggonholt,west-sussex,50.938,-0.494,28,2011,2020,POINT (-0.494 50.938),90,248952.49322532347,4.02,6.01
118,18903,SOUTH UIST RANGE,south-uist-range,western-isles,57.358,-7.385,4,1996,2020,POINT (-7.385 57.358),9,287187.4801062978,2.07,2.38
119,19187,COLESHILL,coleshill,warwickshire,52.48,-1.691,96,1997,2020,POINT (-1.691 52.48),90,129198.78890356726,4.49,4.53
120,19203,BRIDGEFOOT,bridgefoot,cumbria,54.649,-3.459,49,2010,2020,POINT (-3.459 54.649),2,2463.7531912795166,7.72,16.64
121,19204,GRINGLEY-ON-THE-HILL,gringley-on-the-hill,nottinghamshire,53.406,-0.884,68,2010,2020,POINT (-0.884 53.406),90,102376.81632708204,5.79,11.38
122,19211,HARRIS: QUIDNISH,harris-quidnish,western-isles,57.78,-6.897,13,2010,2020,POINT (-6.897 57.78),9,275218.64321896964,21.8,35.43
123,19260,"EDINBURGH, GOGARBANK",edinburgh-gogarbank,midlothian-in-lothian-region,55.928,-3.344,57,1998,2020,POINT (-3.344 55.928),19,44666.390488984965,5.41,6.4
124,61986,TIBENHAM AIRFIELD,tibenham-airfield,norfolk,52.457,1.162,52,2015,2020,POINT (1.162 52.457),90,246327.88619923344,1.58,3.25
125,13343,LOGAN BOTANIC GARDEN,logan-botanic-garden,wigtownshire,54.743,-4.959,27,2012,2020,POINT (-4.959 54.743),6,94196.44327321778,6.21,12.03
126,17344,LOFTUS,loftus,cleveland,54.563,-0.864,158,1996,2020,POINT (-0.864 54.563),91,78390.1197463893,41.82,34.09
127,30476,HOUGHTON HALL,houghton-hall,norfolk,52.824,0.652,65,2010,2020,POINT (0.652 52.824),90,205736.26857227815,2.92,3.94
128,14093,ACHNAGART,achnagart,ross-and-cromarty,57.181,-5.375,15,2012,2020,POINT (-5.375 57.181),9,175086.50595618374,14.79,18.65
129,30750,RAVENSWORTH,ravensworth,north-yorkshire,54.472,-1.785,120,2010,2020,POINT (-1.785 54.472),91,19036.833910354657,7.45,6.77
130,25726,"PATELEY BRIDGE, RAVENS NEST",pateley-bridge-ravens-nest,north-yorkshire,54.07,-1.771,259,2011,2020,POINT (-1.771 54.07),90,31068.682785722835,19.23,41.4
131,55827,BRAEMAR NO 2,braemar-no-2,aberdeenshire,57.011,-3.397,327,2005,2020,POINT (-3.397 57.011),9,114596.39858286531,4.97,10.39
132,23417,ISLAY: PORT ELLEN,islay-port-ellen,argyll-in-strathclyde-region,55.681,-6.25,17,1998,2020,POINT (-6.25 55.681),9,181069.9957371019,4.09,4.72
133,56216,RESALLACH,resallach,sutherland,58.063,-5.016,133,2011,2020,POINT (-5.016 58.063),9,207674.46193833955,12.59,22.12
134,56424,WINTERBOURNE NO2,winterbourne-no2,west-midlands,52.456,-1.928,140,2011,2020,POINT (-1.928 52.456),90,128625.95727514497,6.3,9.9
135,56486,MONA,mona,isle-of-anglesey,53.261,-4.376,60,2009,2020,POINT (-4.376 53.261),0,95413.91687462693,4.06,4.06
136,16589,REDESDALE CAMP,redesdale-camp,northumberland,55.285,-2.279,211,1996,2020,POINT (-2.279 55.285),89,3605.054910892502,9.09,11.7
137,56939,USK NO 2,usk-no-2,monmouthshire,51.714,-2.923,25,2011,2020,POINT (-2.923 51.714),30,175749.07663574122,8.35,12.62
138,56958,EMLEY MOOR NO 2,emley-moor-no-2,west-yorkshire,53.612,-1.668,267,2011,2020,POINT (-1.668 53.612),90,59688.6377658907,5.86,23.63
139,56986,"HULL, EAST PARK",hull-east-park,humberside,53.766,-0.298,2,2012,2020,POINT (-0.298 53.766),90,123543.2637145393,2.58,7.31
140,16031,CHILLINGHAM BARNS,chillingham-barns,northumberland,55.53,-1.918,70,2012,2020,POINT (-1.918 55.53),99,21286.173843976532,3.76,7.53
141,57199,ROSTHERNE NO 2,rostherne-no-2,cheshire,53.36,-2.382,35,2012,2020,POINT (-2.382 53.36),70,70296.53008263657,6.11,7.6
142,50,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1993,2020,POINT (-3.992 58.561),9,217360.28186582951,15.11,41.1
143,60,POOLEWE,poolewe,ross-and-cromarty,57.774,-5.597,6,1961,2020,POINT (-5.597 57.774),9,213312.1167272931,18.18,30.12
144,176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1988,2020,POINT (-2.404 57.032),79,115588.0316263816,4.19,9.46
145,181,MYLNEFIELD,mylnefield,angus,56.456,-3.07,26,1954,2020,POINT (-3.07 56.456),49,78387.85672552101,3.95,4.23
146,208,DRUMMOND CASTLE,drummond-castle,perthshire-in-tayside-region,56.338,-3.877,113,1969,2020,POINT (-3.877 56.338),9,75092.37844249465,8.09,10.71
147,226,KINROSS,kinross,kinross-shire,56.214,-3.413,116,1967,2020,POINT (-3.413 56.214),9,62967.94085983799,5.15,8.78
148,300,WALLINGTON,wallington,northumberland,55.154,-1.945,150,1994,2020,POINT (-1.945 55.154),98,8820.409802370214,3.52,4.89
149,359,WHITBY,whitby,north-yorkshire,54.481,-0.626,41,1973,2020,POINT (-0.626 54.481),91,93846.95493930338,23.82,77.59
150,454,"CAMBRIDGE, BOTANIC GARDEN",cambridge-botanic-garden,cambridgeshire,52.194,0.129,13,1898,2020,POINT (0.129 52.194),90,204079.96873229503,3.24,10.17
151,539,BUXTON,buxton,derbyshire,53.258,-1.914,307,1875,2020,POINT (-1.914 53.258),90,77020.85827923623,7.82,9.42
152,628,IPSTONES EDGE,ipstones-edge,staffordshire,53.056,-1.951,340,1994,2020,POINT (-1.951 53.056),90,89743.16710652543,6.76,9.33
153,638,PRESTON MONTFORD,preston-montford,shropshire,52.725,-2.842,71,1976,2020,POINT (-2.842 52.725),30,110682.87387378112,5.73,11.7
154,782,BOGNOR REGIS,bognor-regis,west-sussex,50.782,-0.677,7,1901,2020,POINT (-0.677 50.782),90,253694.44776725184,4.7,13.31
155,808,EASTBOURNE,eastbourne,east-sussex,50.759,0.283,15,1888,2020,POINT (0.283 50.759),90,283348.6540999833,6.02,14.25
156,818,HASTINGS,hastings,east-sussex,50.856,0.57,45,1961,2020,POINT (0.57 50.856),90,288761.1989197249,12.41,15.27
157,17210,ALWEN,alwen,clwyd,53.062,-3.554,345,1961,2020,POINT (-3.554 53.062),0,88338.56529932556,12.57,27.62
158,843,"BOURNEMOUTH, KINGS PARK",bournemouth-kings-park,dorset,50.734,-1.824,27,1981,2020,POINT (-1.824 50.734),90,240458.07940028314,3.75,4.67
159,877,WIGHT: VENTNOR PARK,wight-ventnor-park,isle-of-wight,50.593,-1.213,60,1984,2020,POINT (-1.213 50.593),90,255317.2853802784,24.78,43.56
160,878,WIGHT: SHANKLIN,wight-shanklin,isle-of-wight,50.624,-1.181,55,1947,2020,POINT (-1.181 50.624),90,253827.30252324307,12.62,15.74
161,926,"BENMORE, YOUNGER BOTANIC GARDEN",benmore-younger-botanic-garden,argyll-in-strathclyde-region,56.028,-4.985,12,1961,2020,POINT (-4.985 56.028),9,109319.15777285708,6.66,16.6
162,954,MUGDOCK PARK,mugdock-park,stirling-in-central-region,55.973,-4.33,165,1990,2020,POINT (-4.33 55.973),9,71971.07560370871,6.78,9.04
163,980,"MOTHERWELL, STRATHCLYDE PARK",motherwell-strathclyde-park,lanarkshire,55.786,-4.023,22,1979,2020,POINT (-4.023 55.786),9,49143.988751240875,6.4,7.78
164,996,HUNTERSTON NO 3,hunterston-no-3,ayrshire,55.723,-4.893,8,1964,2020,POINT (-4.893 55.723),9,96003.75246191896,6.52,9.34
165,25618,BRAMPTON NO 3,brampton-no-3,cumbria,54.935,-2.735,117,2001,2020,POINT (-2.735 54.935),55,2918.064971964054,7.64,8.49
166,9280,WESTONZOYLAND,westonzoyland,somerset,51.115,-2.922,3,2007,2020,POINT (-2.922 51.115),30,214565.25915083577,2.95,3.46
167,1141,PRESTATYN,prestatyn,clwyd,53.342,-3.412,4,1932,2020,POINT (-3.412 53.342),0,70131.3034478923,3.32,5.09
168,1149,COLWYN BAY,colwyn-bay,clwyd,53.291,-3.715,36,1929,2020,POINT (-3.715 53.291),0,75008.73245934132,11.26,10.58
169,1155,LLANARMON DYFFRYN CEIRIOG,llanarmon-dyffryn-ceiriog,clwyd,52.886,-3.256,265,1986,2020,POINT (-3.256 52.886),10,99609.61118086183,20.91,54.48
170,1173,ARTHOG NO 2,arthog-no-2,gwynedd,52.718,-4.015,7,1988,2020,POINT (-4.015 52.718),0,115958.53947991885,16.99,32.35
171,1185,MACHYNLLETH,machynlleth,powys-north,52.622,-3.843,76,1985,2020,POINT (-3.843 52.622),0,119159.79746596144,43.14,85.23
172,1217,ORIELTON,orielton,dyfed,51.653,-4.96,60,1964,2020,POINT (-4.96 51.653),0,203811.03623978363,3.56,6.2
173,1222,TENBY,tenby,dyfed,51.669,-4.708,5,1969,2020,POINT (-4.708 51.669),0,195657.13935218836,16.98,26.46
174,1222,TENBY,tenby,dyfed,51.669,-4.708,5,1969,2020,POINT (-4.708 51.669),0,195657.13935218836,6.67,9.73
175,1227,SARON,saron,dyfed,52.013,-4.37,152,1988,2020,POINT (-4.37 52.013),0,166689.65539746732,7.01,14.58
176,1243,VELINDRE,velindre,powys-south,52.026,-3.187,152,1982,2020,POINT (-3.187 52.026),10,155497.72554443625,12.11,14.82
177,1245,LLANGUNLLO NO 2,llangunllo-no-2,powys-south,52.332,-3.133,310,1989,2020,POINT (-3.133 52.332),30,135786.39787528658,12.08,39.58
178,1291,NETTLECOMBE,nettlecombe,somerset,51.131,-3.35,96,1968,2020,POINT (-3.35 51.131),10,213365.90976806218,10.76,19.69
179,1324,FONTMELL MAGNA,fontmell-magna,dorset,50.951,-2.185,90,1988,2020,POINT (-2.185 50.951),90,225901.48626074134,13.37,21.05
