,src_id,station_na,station_fi,historic_c,station_la,station_lo,station_el,first_year,last_year,geometry,Slope_resorted,Slope_sorted
109,1386,SCILLY: ST MARYS AIRPORT,scilly-st-marys-airport,isles-of-scilly,49.915,-6.296,31,1991,2020,POINT (-6.296 49.915),9.58,10.78
110,1393,CULDROSE,culdrose,cornwall,50.084,-5.257,76,1977,2020,POINT (-5.257 50.084),4.23,5.89
111,1418,BUDE,bude,cornwall,50.829,-4.546,15,2011,2020,POINT (-4.546 50.829),23.07,30.2
112,10268,"WINCHCOMBE, SUDELEY CASTLE",winchcombe-sudeley-castle,gloucestershire,51.948,-1.954,112,2010,2020,POINT (-1.954 51.948),7.04,7.38
113,16769,WIGGONHOLT,wiggonholt,west-sussex,50.938,-0.494,28,2011,2020,POINT (-0.494 50.938),4.11,5.83
114,18903,SOUTH UIST RANGE,south-uist-range,western-isles,57.358,-7.385,4,1996,2020,POINT (-7.385 57.358),2.34,2.27
115,19187,COLESHILL,coleshill,warwickshire,52.48,-1.691,96,1997,2020,POINT (-1.691 52.48),4.3,4.65
116,19203,BRIDGEFOOT,bridgefoot,cumbria,54.649,-3.459,49,2010,2020,POINT (-3.459 54.649),7.09,8.03
117,19204,GRINGLEY-ON-THE-HILL,gringley-on-the-hill,nottinghamshire,53.406,-0.884,68,2010,2020,POINT (-0.884 53.406),5.49,9.2
118,19206,ST ATHAN,st-athan,south-glamorgan,51.405,-3.441,49,1997,2020,POINT (-3.441 51.405),2.92,2.55
119,19211,HARRIS: QUIDNISH,harris-quidnish,western-isles,57.78,-6.897,13,2010,2020,POINT (-6.897 57.78),18.3,25.45
120,19260,"EDINBURGH, GOGARBANK",edinburgh-gogarbank,midlothian-in-lothian-region,55.928,-3.344,57,1998,2020,POINT (-3.344 55.928),5.26,8.96
121,61986,TIBENHAM AIRFIELD,tibenham-airfield,norfolk,52.457,1.162,52,2015,2020,POINT (1.162 52.457),1.17,2.74
122,13343,LOGAN BOTANIC GARDEN,logan-botanic-garden,wigtownshire,54.743,-4.959,27,2012,2020,POINT (-4.959 54.743),6.21,12.03
123,17344,LOFTUS,loftus,cleveland,54.563,-0.864,158,1996,2020,POINT (-0.864 54.563),45.97,30.99
124,30476,HOUGHTON HALL,houghton-hall,norfolk,52.824,0.652,65,2010,2020,POINT (0.652 52.824),2.81,3.36
125,14093,ACHNAGART,achnagart,ross-and-cromarty,57.181,-5.375,15,2012,2020,POINT (-5.375 57.181),29.61,40.29
126,30750,RAVENSWORTH,ravensworth,north-yorkshire,54.472,-1.785,120,2010,2020,POINT (-1.785 54.472),7.27,7.74
127,25726,"PATELEY BRIDGE, RAVENS NEST",pateley-bridge-ravens-nest,north-yorkshire,54.07,-1.771,259,2011,2020,POINT (-1.771 54.07),26.64,33.04
128,55827,BRAEMAR NO 2,braemar-no-2,aberdeenshire,57.011,-3.397,327,2005,2020,POINT (-3.397 57.011),4.35,7.04
129,23417,ISLAY: PORT ELLEN,islay-port-ellen,argyll-in-strathclyde-region,55.681,-6.25,17,1998,2020,POINT (-6.25 55.681),4.05,4.59
130,56216,RESALLACH,resallach,sutherland,58.063,-5.016,133,2011,2020,POINT (-5.016 58.063),15.01,22.61
131,56424,WINTERBOURNE NO2,winterbourne-no2,west-midlands,52.456,-1.928,140,2011,2020,POINT (-1.928 52.456),6.48,12.83
132,56486,MONA,mona,isle-of-anglesey,53.261,-4.376,60,2009,2020,POINT (-4.376 53.261),3.56,3.89
133,56939,USK NO 2,usk-no-2,monmouthshire,51.714,-2.923,25,2011,2020,POINT (-2.923 51.714),7.57,19.6
134,56958,EMLEY MOOR NO 2,emley-moor-no-2,west-yorkshire,53.612,-1.668,267,2011,2020,POINT (-1.668 53.612),8.73,15.74
135,56986,"HULL, EAST PARK",hull-east-park,humberside,53.766,-0.298,2,2012,2020,POINT (-0.298 53.766),2.65,7.54
136,16031,CHILLINGHAM BARNS,chillingham-barns,northumberland,55.53,-1.918,70,2012,2020,POINT (-1.918 55.53),3.9,4.97
137,57199,ROSTHERNE NO 2,rostherne-no-2,cheshire,53.36,-2.382,35,2012,2020,POINT (-2.382 53.36),4.59,9.11
138,50,STRATHY EAST,strathy-east,sutherland,58.561,-3.992,68,1993,2020,POINT (-3.992 58.561),12.33,24.22
139,60,POOLEWE,poolewe,ross-and-cromarty,57.774,-5.597,6,1961,2020,POINT (-5.597 57.774),7.67,25.27
140,176,DURRIS,durris,kincardineshire,57.032,-2.404,107,1988,2020,POINT (-2.404 57.032),3.66,6.77
141,181,MYLNEFIELD,mylnefield,angus,56.456,-3.07,26,1954,2020,POINT (-3.07 56.456),3.4,4.7
142,208,DRUMMOND CASTLE,drummond-castle,perthshire-in-tayside-region,56.338,-3.877,113,1969,2020,POINT (-3.877 56.338),8.76,14.21
143,226,KINROSS,kinross,kinross-shire,56.214,-3.413,116,1967,2020,POINT (-3.413 56.214),5.12,9.45
144,300,WALLINGTON,wallington,northumberland,55.154,-1.945,150,1994,2020,POINT (-1.945 55.154),2.97,5.43
145,359,WHITBY,whitby,north-yorkshire,54.481,-0.626,41,1973,2020,POINT (-0.626 54.481),23.82,71.77
146,454,"CAMBRIDGE, BOTANIC GARDEN",cambridge-botanic-garden,cambridgeshire,52.194,0.129,13,1898,2020,POINT (0.129 52.194),3.23,10.86
147,539,BUXTON,buxton,derbyshire,53.258,-1.914,307,1875,2020,POINT (-1.914 53.258),9.58,18.96
148,628,IPSTONES EDGE,ipstones-edge,staffordshire,53.056,-1.951,340,1994,2020,POINT (-1.951 53.056),4.7,8.36
149,638,PRESTON MONTFORD,preston-montford,shropshire,52.725,-2.842,71,1976,2020,POINT (-2.842 52.725),5.74,9.4
150,782,BOGNOR REGIS,bognor-regis,west-sussex,50.782,-0.677,7,1901,2020,POINT (-0.677 50.782),4.43,12.69
151,808,EASTBOURNE,eastbourne,east-sussex,50.759,0.283,15,1888,2020,POINT (0.283 50.759),6.18,10.89
152,818,HASTINGS,hastings,east-sussex,50.856,0.57,45,1961,2020,POINT (0.57 50.856),10.1,9.84
153,17210,ALWEN,alwen,clwyd,53.062,-3.554,345,1961,2020,POINT (-3.554 53.062),13.62,21.06
154,843,"BOURNEMOUTH, KINGS PARK",bournemouth-kings-park,dorset,50.734,-1.824,27,1981,2020,POINT (-1.824 50.734),3.66,4.52
155,877,WIGHT: VENTNOR PARK,wight-ventnor-park,isle-of-wight,50.593,-1.213,60,1984,2020,POINT (-1.213 50.593),23.83,27.92
156,878,WIGHT: SHANKLIN,wight-shanklin,isle-of-wight,50.624,-1.181,55,1947,2020,POINT (-1.181 50.624),9.56,8.61
157,926,"BENMORE, YOUNGER BOTANIC GARDEN",benmore-younger-botanic-garden,argyll-in-strathclyde-region,56.028,-4.985,12,1961,2020,POINT (-4.985 56.028),23.85,77.59
158,954,MUGDOCK PARK,mugdock-park,stirling-in-central-region,55.973,-4.33,165,1990,2020,POINT (-4.33 55.973),5.48,8.01
159,980,"MOTHERWELL, STRATHCLYDE PARK",motherwell-strathclyde-park,lanarkshire,55.786,-4.023,22,1979,2020,POINT (-4.023 55.786),7.32,7.46
160,996,HUNTERSTON NO 3,hunterston-no-3,ayrshire,55.723,-4.893,8,1964,2020,POINT (-4.893 55.723),6.26,9.45
161,25618,BRAMPTON NO 3,brampton-no-3,cumbria,54.935,-2.735,117,2001,2020,POINT (-2.735 54.935),4.21,4.48
162,9280,WESTONZOYLAND,westonzoyland,somerset,51.115,-2.922,3,2007,2020,POINT (-2.922 51.115),3.45,4.94
163,1141,PRESTATYN,prestatyn,clwyd,53.342,-3.412,4,1932,2020,POINT (-3.412 53.342),5.84,6.54
164,1149,COLWYN BAY,colwyn-bay,clwyd,53.291,-3.715,36,1929,2020,POINT (-3.715 53.291),12.28,24.44
165,1155,LLANARMON DYFFRYN CEIRIOG,llanarmon-dyffryn-ceiriog,clwyd,52.886,-3.256,265,1986,2020,POINT (-3.256 52.886),9.16,22.52
166,1164,DINORWIC NO 2,dinorwic-no-2,gwynedd,53.143,-4.108,333,1992,2020,POINT (-4.108 53.143),15.96,20.77
167,1173,ARTHOG NO 2,arthog-no-2,gwynedd,52.718,-4.015,7,1988,2020,POINT (-4.015 52.718),12.34,19.74
168,1185,MACHYNLLETH,machynlleth,powys-north,52.622,-3.843,76,1985,2020,POINT (-3.843 52.622),37.59,167.91
169,1217,ORIELTON,orielton,dyfed,51.653,-4.96,60,1964,2020,POINT (-4.96 51.653),3.37,8.41
170,1222,TENBY,tenby,dyfed,51.669,-4.708,5,1969,2020,POINT (-4.708 51.669),5.22,9.43
171,1222,TENBY,tenby,dyfed,51.669,-4.708,5,1969,2020,POINT (-4.708 51.669),17.42,23.34
172,1227,SARON,saron,dyfed,52.013,-4.37,152,1988,2020,POINT (-4.37 52.013),5.88,12.87
173,1243,VELINDRE,velindre,powys-south,52.026,-3.187,152,1982,2020,POINT (-3.187 52.026),9.68,9.16
174,1245,LLANGUNLLO NO 2,llangunllo-no-2,powys-south,52.332,-3.133,310,1989,2020,POINT (-3.133 52.332),7.71,16.56
175,1291,NETTLECOMBE,nettlecombe,somerset,51.131,-3.35,96,1968,2020,POINT (-3.35 51.131),7.69,18.85
176,1324,FONTMELL MAGNA,fontmell-magna,dorset,50.951,-2.185,90,1988,2020,POINT (-2.185 50.951),13.37,21.58
177,1362,SLAPTON,slapton,devon,50.293,-3.652,32,1961,2020,POINT (-3.652 50.293),9.14,14.11
178,1371,TEIGNMOUTH,teignmouth,devon,50.545,-3.495,3,1906,2020,POINT (-3.495 50.545),16.1,14.16
179,1382,HEMYOCK,hemyock,devon,50.909,-3.227,168,1978,2020,POINT (-3.227 50.909),8.22,12.43
180,1412,TREKNOW,treknow,cornwall,50.646,-4.755,100,1992,2020,POINT (-4.755 50.646),17.68,81.37
181,2515,BANK NEWTON NO 2,bank-newton-no-2,north-yorkshire,53.976,-2.134,128,2006,2020,POINT (-2.134 53.976),5.96,11.5
182,18985,LIVINGSTON MILL,livingston-mill,west-lothian-in-lothian-region,55.885,-3.546,108,1996,2020,POINT (-3.546 55.885),6.23,6.33
183,19193,CAWDOR CASTLE NO 2,cawdor-castle-no-2,nairnshire,57.525,-3.924,60,1997,2020,POINT (-3.924 57.525),2.87,5.01
184,3805,TETFORD,tetford,lincolnshire,53.253,-0.009,59,1999,2020,POINT (-0.008999999999999999 53.253),3.86,11.01
185,61875,BEWCASTLE,bewcastle,cumbria,55.065,-2.715,133,2013,2020,POINT (-2.715 55.065),6.99,10.95
186,17183,HUNT HALL FARM,hunt-hall-farm,durham,54.67,-2.229,370,1995,2020,POINT (-2.229 54.67),9.72,14.02
187,62004,OYNE NO 2,oyne-no-2,aberdeenshire,57.32,-2.545,116,2015,2020,POINT (-2.545 57.32),10.39,11.2
188,62015,"PORTPATRICK, CRAIGENLEE CROFT",portpatrick-craigenlee-croft,wigtownshire,54.863,-5.075,103,2015,2020,POINT (-5.075 54.863),5.9,7.68
189,62031,AMERSHAM FIELD CENTRE,amersham-field-centre,buckinghamshire,51.665,-0.657,150,2015,2020,POINT (-0.657 51.665),3.25,4.94
190,62039,BAINTOWN,baintown,fife,56.221,-3.043,123,2015,2020,POINT (-3.043 56.221),6.35,17.24
191,62076,"FORREST LODGE, BURNHEAD",forrest-lodge-burnhead,kirkcudbrightshire,55.144,-4.278,150,2016,2020,POINT (-4.278 55.144),12.92,33.61
192,4934,"LINGWOOD, STRUMPSHAW HILL",lingwood-strumpshaw-hill,norfolk,52.611,1.483,33,2009,2020,POINT (1.483 52.611),3.52,3.9
193,17310,"FETTERCAIRN, GLENSAUGH NO 2",fettercairn-glensaugh-no-2,kincardineshire,56.893,-2.542,171,1996,2020,POINT (-2.542 56.893),10.15,14.61
194,30084,BROADWINDSOR,broadwindsor,dorset,50.822,-2.79,161,2011,2020,POINT (-2.79 50.822),7.12,9.2
195,30448,LLANFYNYDD,llanfynydd,dyfed,51.919,-4.101,104,2014,2020,POINT (-4.101 51.919),9.52,10.92
196,14444,DUNROBIN CASTLE GARDENS,dunrobin-castle-gardens,sutherland,57.981,-3.943,6,2001,2020,POINT (-3.943 57.981),10.53,13.57
197,55890,PORT HENDERSON,port-henderson,ross-and-cromarty,57.696,-5.777,18,2013,2020,POINT (-5.777 57.696),9.02,18.09
198,56130,DAWYCK BOTANIC GARDEN,dawyck-botanic-garden,peebleshire,55.604,-3.323,183,2007,2020,POINT (-3.323 55.604),8.75,14.76
199,15381,"AUCHTERMUCHTY, ROSSIE",auchtermuchty-rossie,fife,56.299,-3.203,75,1997,2020,POINT (-3.203 56.299),7.11,12.15
200,7228,"RINGMER, BISHOPS LANE",ringmer-bishops-lane,east-sussex,50.897,0.058,23,2016,2020,POINT (0.058 50.897),4.07,5.84
201,56423,"MIDDLETON, HILLSIDE",middleton-hillside,derbyshire,53.099,-1.589,295,2009,2020,POINT (-1.589 53.099),15.55,50.79
202,7621,LINKENHOLT POST OFFICE,linkenholt-post-office,hampshire,51.32,-1.479,197,2013,2020,POINT (-1.479 51.32),6.59,17.35
203,24219,MANNINGTON HALL,mannington-hall,norfolk,52.844,1.179,30,1999,2020,POINT (1.179 52.844),2.85,3.04
204,57118,BUTE: ROTHESAY NO2,bute-rothesay-no2,buteshire,55.825,-5.056,36,2013,2020,POINT (-5.056 55.825),6.35,9.75
